middle_gold,late_gold
26.26,20.06
-8.77,-18.39
5.67,10.74
-9.88,7.0
7.91,-15.15
1.81,2.02
0.31,-3.53
13.54,-0.17
9.29,9.75
-5.69,-2.41
7.85,19.42
-13.96,-9.82
1.46,-3.48
-1.17,23.12
2.2,-12.48
-4.81,-9.43
13.78,19.99
16.21,23.56
-9.55,-15.84
0.84,-9.21
3.6,7.94
-2.74,-13.2
-7.42,-0.99
1.96,-14.16
-21.6,-5.25
-7.25,2.84
3.32,-6.44
8.29,1.59
-16.16,-11.4
-6.66,-2.09
5.6,5.8
-5.26,-1.26
-3.17,-4.16
14.81,45.21
2.78,5.67
-10.95,-1.88
-10.22,-5.7
18.67,19.06
18.24,28.76
6.74,2.59
-8.77,0.87
4.77,-0.11
-6.72,7.31
2.28,1.5
-3.87,-33.48
9.11,5.67
14.62,2.03
-23.89,-33.99
-14.42,-14.21
-8.63,-15.96
-59.74,-72.45
-8.72,-11.92
8.57,15.88
11.73,20.97
1.22,-2.27
0.82,-1.9
5.34,3.03
